Tipo;Quebra1;Quebra2;Ficha;Dotação;Orçado Atualizado;Mês 1;Mês 2;Mês 3;Mês 4;Mês 5;Mês 6;Mês 7;Mês 8;Mês 9;Mês 10;Mês 11;Mês 12
Analitico;0;0;725-31101.1339102012.007.3.3.90.92.2716000000;31101.1339102012.007.3.3.90.92.2716000000;189130,2;0;0;0;0;0;0;0;189130,2;0;0;0;0
Analitico;0;0;520-31101.0412204032.141.4.4.90.52.0100000000;31101.0412204032.141.4.4.90.52.0100000000;0;17525;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;559-31101.0412204032.141.4.4.90.52.1500000000;31101.0412204032.141.4.4.90.52.1500000000;500000;0;0;47174,65;0;0;0;0;0;0;15551,04;232500;0
Analitico;0;0;594-31101.0412204032.141.4.4.90.52.1500000000;31101.0412204032.141.4.4.90.52.1500000000;0;24591,08;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;710-31101.1339102012.008.4.4.90.52.2719000000;31101.1339102012.008.4.4.90.52.2719000000;230683,1;0;0;0;0;0;62000,01;0;130524;0;0;16245;15860
Analitico;0;0;56-33101.0412204032.138.3.1.90.04.1500000000;33101.0412204032.138.3.1.90.04.1500000000;103826,61;82000;0;0;0;0;0;0;0;0;0;21148,77;-5251,07
Analitico;0;0;57-33101.0412204032.138.3.1.90.11.1500000000;33101.0412204032.138.3.1.90.11.1500000000;5400000;5400000;0;0;0;0;0;0;0;0;0;0;-419353,56
Analitico;0;0;708-33101.0412204032.138.3.1.90.92.1500000000;33101.0412204032.138.3.1.90.92.1500000000;486348,71;0;0;0;0;0;482244,19;0;0;0;0;0;0
Analitico;0;0;709-33101.0412204032.138.3.1.90.96.1500000000;33101.0412204032.138.3.1.90.96.1500000000;95029,68;0;0;0;0;0;95029,68;0;0;0;0;0;0
Analitico;0;0;478-33101.0412204032.141.3.3.90.14.1500000000;33101.0412204032.141.3.3.90.14.1500000000;144500;0;0;11070;0;2460;0;3280;0;4305;4715;-1640;3690
Analitico;0;0;112-33101.0412204032.141.3.3.90.30.1500000000;33101.0412204032.141.3.3.90.30.1500000000;0;22642,55;0;0;0;0;0;0;0;0;0;-21710,03;0
Analitico;0;0;479-33101.0412204032.141.3.3.90.30.1500000000;33101.0412204032.141.3.3.90.30.1500000000;130000;0;0;30703,6;0;0;0;0;0;3264;0;27139,84;0
Analitico;0;0;113-33101.0412204032.141.3.3.90.33.1500000000;33101.0412204032.141.3.3.90.33.1500000000;0;49777,93;0;0;0;0;0;0;0;0;0;-17965,44;0
Analitico;0;0;480-33101.0412204032.141.3.3.90.33.1500000000;33101.0412204032.141.3.3.90.33.1500000000;350000;13028,85;0;143317,17;0;0;0;0;0;0;0;0;0
Analitico;0;0;481-33101.0412204032.141.3.3.90.35.1500000000;33101.0412204032.141.3.3.90.35.1500000000;10000;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;482-33101.0412204032.141.3.3.90.36.1500000000;33101.0412204032.141.3.3.90.36.1500000000;10000;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;483-33101.0412204032.141.3.3.90.37.1500000000;33101.0412204032.141.3.3.90.37.1500000000;120000;0;0;0;0;0;,02;0;0;0;0;-,02;0
Analitico;0;0;116-33101.0412204032.141.3.3.90.39.1500000000;33101.0412204032.141.3.3.90.39.1500000000;0;56098,86;0;0;0;0;0;0;0;0;0;-13137,95;0
Analitico;0;0;486-33101.0412204032.141.3.3.90.39.1500000000;33101.0412204032.141.3.3.90.39.1500000000;1165189,82;5821,85;191426,71;35881,8;40174,8;176562,63;1881;0;31650;452808,33;14509,36;-19222,62;54518,62
Analitico;0;0;509-33101.1648202131.022.3.3.90.48.1500005100;33101.1648202131.022.3.3.90.48.1500005100;0;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;488-33101.0412204032.141.3.3.90.92.1500000000;33101.0412204032.141.3.3.90.92.1500000000;30000;0;0;0;0;0;0;0;0;0;0;0;0
