Código;Indicador;Tipo;Descrição;Saldo Anterior;D/C;Débito até mês;Crédito até mês;Saldo Atual;D/C;
121110603;P;A;CRÉDITOS PREVIDENCIÁRIOS DO RPPS PARCELADOS - SERVIDOR, APOSENTADO E PENSIONISTA;93.184.407,26;D;0,00;10.313.721,96;82.870.685,30;D
121119900;NI;S;(-) AJUSTE DE PERDAS DE CRÉDITOS A LONGO PRAZO;1.479.936.123,14;C;399.547.206,55;306.347.964,36;1.386.736.880,95;C
121119905;P;A;(-) AJUSTES DE PERDAS DE DÍVIDA ATIVA NÃO TRIBUTÁRIA;1.479.936.123,14;C;399.547.206,55;306.347.964,36;1.386.736.880,95;C
121200000;NI;S;DEMAIS CRÉDITOS E VALORES A LONGO PRAZO;97.043.869,89;D;11.104.899,80;3.623.550,11;104.525.219,58;D
121210000;NI;S;DEMAIS CRÉDITOS E VALORES A LONGO PRAZO - CONSOLIDAÇÃO;97.043.869,89;D;11.104.899,80;3.623.550,11;104.525.219,58;D
121210200;NI;S;TRIBUTOS A RECUPERAR / COMPENSAR;84.643,08;D;0,00;0,00;84.643,08;D
121210299;P;A;OUTROS TRIBUTOS RECUPERAR/COMPENSAR (P);84.643,08;D;0,00;0,00;84.643,08;D
121210600;NI;S;DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS;45.704.960,53;D;7.568.884,57;104.358,03;53.169.487,07;D
121210699;F;A;OUTROS DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS;45.704.960,53;D;7.568.884,57;104.358,03;53.169.487,07;D
121219800;NI;S;OUTROS CRÉDITOS A RECEBER E VALORES A LONGO PRAZO;51.254.266,28;D;3.536.015,23;3.519.192,08;51.271.089,43;D
121219808;P;A;INDENIZAÇÕES A RECEBER;118.158,22;D;0,00;0,00;118.158,22;D
121219899;P;A;DEMAIS CRÉDITOS A RECEBER E VALORES A LONGO PRAZO;51.136.108,06;D;3.536.015,23;3.519.192,08;51.152.931,21;D
